language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=1.09 s (65.0 files/s 25178.9 lines/s)"
JavaScript,Content\datatables\jquery.dataTables.js,1985,6998,6371
CSS,Content\bootstrap-icons.css,2,0,1388
C#,Controllers\API\WarehouseApiController.cs,112,68,883
C#,Controllers\API\QcdApiController.cs,124,76,873
C#,Controllers\API\GitlabCodeAnalysisController.cs,87,18,666
C#,Controllers\UsersController.cs,75,75,665
JavaScript,Scripts\modernizr-2.8.3.js,287,510,609
C#,Controllers\API\ProjectsController.cs,73,48,476
CSS,Content\datatables\jquery.dataTables.css,3,30,415
MSBuild script,GitlabManager.csproj,0,6,312
SVG,fonts\glyphicons-halflings-regular.svg,0,0,288
C#,Controllers\WarehouseController.cs,26,56,273
Razor,Views\Warehouse\sync.cshtml,0,5,248
C#,Controllers\API\APIv1Controller.cs,17,2,241
Razor,Views\Warehouse\index.cshtml,5,6,206
C#,Models\ProjectSyncSettings.cs,19,1,178
C#,Controllers\AccountController.cs,18,2,163
XML,Web.config,6,39,147
C#,BLL\RSABLL.cs,21,19,120
CSS,Content\Site.css,24,5,120
C#,Models\GitLabApi.cs,2,0,94
CSS,Content\fakeloader.css,10,0,77
C#,App_Start\ApiAuthorizeAttribute.cs,13,10,71
C#,BLL\DingTalkClientBLL.cs,5,0,69
Razor,Views\Shared\_Layout.cshtml,2,10,69
C#,Controllers\API\AccountApiController.cs,9,1,67
C#,Controllers\JobController.cs,8,6,65
Razor,Views\Account\Login.cshtml,8,4,60
Razor,Views\Users\Edit.cshtml,12,0,58
Razor,Views\Users\Create.cshtml,11,0,53
Razor,Views\Users\Index.cshtml,6,0,52
C#,BLL\SmtpClientBLL.cs,4,10,51
C#,Models\Warehouse.cs,2,0,51
C#,Models\User.cs,6,3,45
XML,packages.config,0,0,44
XML,Views\Web.config,5,0,38
C#,Controllers\API\SystemController.cs,8,2,37
Razor,Views\Users\Delete.cshtml,11,0,37
C#,Controllers\API\UsersApiController.cs,3,0,36
Markdown,Template\readme\CH_README.md,24,0,35
Markdown,Template\readme\EN_README.md,24,0,35
Markdown,Template\readme\JP_README.md,24,0,35
Razor,Views\Users\Details.cshtml,9,0,33
C#,App_Start\WebApiConfig.cs,2,4,31
C#,Controllers\HomeController.cs,6,0,29
C#,Filters\CheckLoginFilter.cs,2,1,28
Visual Studio Solution,GitlabManager.sln,1,1,28
C#,Attribute\GitAuthorizeAttribute.cs,1,0,27
Razor,Views\Home\Index.cshtml,3,1,27
C#,Global.asax.cs,3,1,26
Razor,Views\Shared\_LoginPartial.cshtml,7,1,26
C#,Models\Entities.cs,4,0,24
C#,App_Start\BundleConfig.cs,5,3,22
C#,DataContext\ApplicationDbContext.cs,2,0,22
C#,App_Start\RouteConfig.cs,2,0,21
XML,Web.Release.config,4,21,17
C#,DataContext\AgoraDbContext.cs,8,0,15
C#,Properties\AssemblyInfo.cs,4,16,15
C#,App_Start\FilterConfig.cs,1,0,12
Razor,Views\Shared\Error.cshtml,2,0,12
C#,DataContext\DBCon.cs,1,0,9
Razor,Views\Home\About.cshtml,1,0,6
Razor,Views\Home\Unauthorized.cshtml,3,0,5
XML,Web.Debug.config,4,21,5
JavaScript,Content\jquery.min.js,0,1,4
Razor,Views\_ViewStart.cshtml,0,0,3
CSS,Content\bootstrap.min.css,0,5,1
JavaScript,Content\bootstrap.min.js,0,5,1
ASP.NET,Global.asax,0,0,1
JavaScript,Scripts\fakeloader.min.js,0,0,1
Markdown,readme.md,0,0,1
SUM,,3156,8091,16273
files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=1.09 s (65.0 files/s 25178.9 lines/s)"
5,JavaScript,2272,7514,6986
33,C#,673,422,5405
5,CSS,39,40,2001
15,Razor,80,27,895
1,MSBuild script,0,6,312
1,SVG,0,0,288
5,XML,19,81,251
4,Markdown,72,0,106
1,Visual Studio Solution,1,1,28
1,ASP.NET,0,0,1
SUM,,3156,8091,16273
